generation,# of moves until defeat playing first against minimax,# of moves until defeat playing second against minimax
876,19,34
877,21,20
878,17,39*
879,21,20
880,17,39*
881,17,32
882,21,22
883,17,32
884,21,22
885,21,14
886,21,22
887,21,14
888,21,22
889,21,14
890,21,22
891,21,14
892,21,22
893,17,20
894,21,22
895,17,20
896,21,22
897,17,20
898,17,14
899,17,20
900,17,14
901,17,20
902,17,14
903,17,20
904,17,14
905,17,14
906,17,14
907,17,14
908,17,16
909,17,14
910,17,36
911,17,14
912,17,36
913,17,14
914,17,36
915,17,14
916,17,36
917,17,14
918,17,36
919,17,14
920,17,32
921,29,20
922,15,32
923,29,20
924,15,32
925,21,20
926,15,32
927,21,20
928,15,32
929,21,20
930,21,16
931,17,18
932,17,14
933,17,18
934,17,32
935,17,18
936,17,32
937,17,18
938,17,32
939,17,18
940,17,32
941,17,18
942,17,32
943,17,16
944,17,32
945,17,16
946,17,16
947,17,28
948,17,16
949,17,28
950,17,16
951,17,28
952,19,32
953,17,28
954,33,12
955,17,28
956,15,32
957,17,20
958,15,32
959,15,28
960,15,32
961,15,28
962,15,32
963,17,32
964,15,32
965,23,16
966,17,20
967,23,16
968,17,20
969,23,16
970,17,38
971,23,16
972,15,22
973,21,16
974,21,14
975,15,28
976,27,32
977,17,30
978,17,24
979,19,32
980,15,34
981,19,32
982,15,34
983,19,32
984,21,30
985,17,20
986,21,30
987,17,20
988,17,10
989,17,20
990,17,10
991,17,20
992,23,39*
993,17,16
994,23,39*
995,17,16
996,23,39*
997,17,16
998,17,43
999,17,18
1000,17,43
1001,17,18
1002,17,43
1003,17,18
1004,15,14
1005,15,18
1006,13,24
1007,25,20
1008,23,39*
1009,25,20
1010,23,39*
1011,25,20
1012,17,32
1013,17,16
1014,21,14
1015,17,14
1016,23,39*
1017,17,14
1018,17,20
1019,17,10
1020,15,22
1021,15,18
1022,15,30
1023,29,20
1024,15,32
1025,17,20
1026,15,30
1027,17,20
1028,19,18
1029,15,16
1030,17,32
1031,21,30
1032,23,39*
1033,21,30
1034,17,14
1035,17,22
1036,23,26
1037,19,20
1038,23,26
1039,17,20
1040,17,16
1041,27,20
1042,23,39*
1043,19,36
1044,25,14
1045,17,36
1046,17,22
1047,17,36
1048,29,30
1049,17,36
1050,17,16
1051,27,18
1052,19,22
1053,17,20
1054,15,26
1055,19,34
1056,29,30
1057,19,22
1058,21,30
1059,19,22
1060,21,30
1061,19,22
1062,21,30
1063,19,22
1064,21,30
1065,19,20
1066,15,34
1067,15,24
1068,21,20
1069,21,12
1070,17,20
1071,21,12
1072,17,20
1073,21,12
1074,17,32
1075,17,20
1076,17,32
1077,17,20
1078,21,14
1079,19,24
1080,19,28
1081,19,20
1082,19,28
1083,17,20
1084,21,14
1085,17,43
1086,17,32
1087,17,43
1088,19,30
1089,19,20
1090,19,30
1091,19,20
1092,19,30
1093,15,36
1094,23,36
1095,17,14
1096,17,32
1097,17,12
1098,17,32
1099,19,24
1100,17,20
1101,19,24
1102,19,14
1103,17,12
1104,19,14
1105,17,12
1106,19,14
1107,21,14
1108,17,28
1109,19,20
1110,17,32
1111,19,20
1112,17,32
1113,19,20
1114,17,32
1115,21,20
1116,15,32
1117,21,20
1118,15,32
1119,17,16
1120,15,32
1121,17,16
1122,21,22
1123,21,20
1124,21,20
1125,19,36
1126,15,16
1127,17,36
1128,15,16
1129,17,32
1130,15,32
1131,17,36
1132,15,32
1133,19,20
1134,15,32
1135,19,20
1136,15,32
1137,15,20
1138,27,34
1139,19,20
1140,27,34
1141,15,36
1142,15,32
1143,15,36
1144,15,32
1145,17,28
1146,21,22
1147,17,28
1148,21,22
1149,17,28
1150,17,24
1151,19,32
1152,41,32
1153,23,22
1154,21,22
1155,23,22
1156,15,14
1157,17,14
1158,19,22
1159,15,10
1160,17,39*
1161,17,16
1162,15,32
1163,19,28
1164,19,20
1165,21,20
1166,15,18
1167,17,16
1168,15,34
1169,21,20
1170,19,28
1171,19,30
1172,19,28
1173,17,32
1174,25,24
1175,17,32
1176,17,14
1177,17,22
1178,21,32
1179,23,20
1180,21,32
1181,23,20
1182,19,14
1183,17,10
1184,19,36
1185,23,32
1186,19,32
1187,23,36
1188,19,36
1189,17,14
1190,21,14
1191,15,34
1192,15,34
1193,19,43
1194,33,12
1195,27,28
1196,17,16
1197,21,14
1198,21,16
1199,27,28
1200,21,14
1201,17,28
1202,19,32
1203,19,26
1204,17,20
1205,19,26
1206,17,14
1207,19,24
1208,17,14
1209,19,24
1210,17,14
1211,19,24
1212,15,18
1213,23,32
1214,17,14
1215,23,32
1216,17,14
1217,23,32
1218,17,14
1219,21,16
1220,17,28
1221,17,26
1222,17,14
1223,33,32
1224,17,20
1225,33,32
1226,17,20
1227,33,32
1228,17,32
1229,17,26
1230,17,20
1231,15,26
1232,17,32
1233,15,26
1234,19,20
1235,29,14
1236,19,24
1237,17,10
1238,17,38
1239,21,18
1240,17,28
1241,27,18
1242,17,28
1243,17,34
1244,19,10
1245,19,10
1246,19,10
1247,19,10
1248,17,26
1249,27,18
1250,17,26
1251,27,18
1252,17,26
1253,21,28
1254,19,14
1255,27,18
1256,19,14
1257,27,18
1258,27,20
1259,15,34
1260,27,34
1261,21,43
1262,25,14
1263,17,14
1264,25,14
1265,19,18
1266,21,14
1267,17,14
1268,21,14
1269,17,14
1270,21,14
1271,17,14
1272,15,24
1273,15,14
1274,17,20
1275,23,36
1276,17,20
1277,15,34
1278,27,34
1279,15,16
1280,23,28
1281,17,26
1282,27,34
1283,17,26
1284,17,20
1285,21,22
1286,27,34
1287,17,14
1288,23,41*
1289,17,36
1290,19,14
1291,15,16
1292,17,26
1293,15,16
1294,17,26
1295,15,16
1296,17,39*
1297,17,16
1298,17,26
1299,17,16
1300,17,26
1301,17,16
1302,35,20
1303,21,14
1304,17,28
1305,17,28
1306,35,20
1307,17,28
1308,19,20
1309,21,22
1310,19,20
1311,21,18
1312,35,20
1313,21,18
1314,17,14
1315,27,28
1316,17,14
1317,27,16
1318,25,12
1319,19,34
1320,35,20
1321,17,16
1322,15,22
1323,17,28
1324,17,26
1325,17,16
1326,17,24
1327,17,41*
1328,17,24
1329,19,22
1330,17,20
1331,15,32
1332,23,14
1333,15,16
1334,15,28
1335,17,41*
1336,17,14
1337,17,41*
1338,17,14
1339,17,41*
1340,17,14
1341,19,28
1342,21,16
1343,19,28
1344,21,16
1345,19,28
1346,21,16
1347,17,20
1348,17,32
1349,17,20
1350,17,32
1351,27,20
1352,33,32
1353,17,16
1354,23,14
1355,17,32
1356,17,16
1357,21,32
1358,17,14
1359,21,32
1360,15,20
1361,17,32
1362,27,24
1363,19,43
1364,27,24
1365,19,43
1366,27,24
1367,38*,20
1368,15,20
1369,38*,20
1370,17,30
1371,17,39*
1372,15,20
1373,17,39*
1374,19,28
1375,19,43
1376,19,28
1377,15,20
1378,15,20
1379,15,20
1380,17,20
1381,17,20
1382,17,20
1383,17,22
1384,21,10
1385,15,20
1386,15,20
1387,17,36
1388,15,32
1389,15,20
1390,19,36
1391,17,22
1392,19,36
1393,17,22
1394,33,18
1395,17,20
1396,21,20
1397,15,22
1398,19,32
1399,17,20
1400,21,20
1401,27,36
1402,17,39*
1403,19,30
1404,33,18
1405,19,30
1406,19,30
1407,19,20
1408,17,32
1409,19,22
1410,23,22
1411,19,14
1412,17,34
1413,29,18
1414,39,38
1415,17,41*
1416,13,30
1417,19,28
1418,21,20
1419,33,16
1420,17,20
1421,21,16
1422,19,20
1423,17,10
1424,19,34
1425,17,32
1426,17,30
1427,17,20
1428,17,30
1429,15,30
1430,19,20
1431,17,20
1432,17,32
1433,21,14
1434,19,20
1435,19,32
1436,17,32
1437,21,14
1438,17,28
1439,25,22
1440,17,10
1441,33,36
1442,27,16
1443,25,32
1444,17,20
1445,19,34
1446,21,22
1447,19,34
1448,19,16
1449,27,16
1450,19,16
1451,31,41*
1452,19,16
1453,17,14
1454,17,20
1455,31,41*
1456,17,20
1457,17,10
1458,15,38
1459,21,16
1460,15,38
1461,23,32
1462,17,20
1463,23,32
1464,21,16
1465,17,34
1466,23,14
1467,21,16
1468,23,14
1469,15,10
1470,17,26
1471,25,28
1472,17,16
1473,38*,20
1474,29,18
1475,17,32
1476,23,30
1477,39,38
1478,21,20
1479,15,10
1480,17,34
1481,39,38
1482,38*,16
1483,17,14
1484,25,20
1485,17,32
1486,17,16
1487,38*,20
1488,17,16
1489,17,20
1490,25,20
1491,21,20
1492,27,20
1493,21,20
1494,23,14
1495,17,20
1496,17,30
1497,38*,20
1498,17,30
1499,17,18
1500,23,14
1501,23,24
1502,17,22
1503,21,14
1504,25,18
1505,15,32
1506,25,20
1507,23,36
1508,31,16
1509,17,14
1510,27,14
1511,17,14
1512,17,20
1513,27,16
1514,17,20
1515,17,16
1516,17,20
1517,17,16
1518,17,20
1519,17,18
1520,13,14
1521,17,16
1522,19,41*
1523,21,16
1524,19,41*
1525,21,22
1526,13,14
1527,21,22
1528,13,14
1529,29,14
1530,17,20
1531,29,14
1532,21,20
1533,15,10
1534,25,20
1535,21,16
1536,17,24
1537,31,41*
1538,21,18
1539,19,30
1540,19,28
1541,15,34
1542,19,28
1543,27,16
1544,19,34
1545,15,34
1546,19,34
1547,17,34
1548,19,28
1549,15,34
1550,17,30
1551,21,34
1552,17,30
1553,15,28
1554,19,24
1555,25,10
1556,17,24
1557,25,10
1558,17,24
1559,17,16
1560,21,20
1561,25,10
1562,21,20
1563,21,16
1564,17,32
1565,21,16
1566,17,32
1567,15,10
1568,19,30
1569,21,16
1570,31,22
1571,19,22
1572,31,22
1573,19,22
1574,31,22
1575,27,30
1576,19,30
1577,27,30
1578,19,30
1579,15,32
1580,15,18
1581,19,39*
1582,17,20
1583,19,39*
1584,21,18
1585,19,22
1586,17,16
1587,21,20
1588,21,18
1589,21,20
1590,27,26
1591,25,10
1592,27,36
1593,17,22
1594,15,20
1595,27,28
1596,15,20
1597,27,28
1598,19,16
1599,17,12
1600,19,14
1601,21,18
1602,15,20
1603,21,18
1604,15,20
1605,21,18
1606,15,20
1607,21,18
1608,15,20
1609,21,18
1610,15,20
1611,21,36
1612,15,14
1613,17,18
1614,17,28
1615,23,14
1616,19,28
